TKUFA2,Textbox59,Textbox66,Textbox67
 סיכום פעילות גמל לחודש 01/2018,        (במיליוני ש''ח),קופת גמל היא מכשיר חיסכון לטווח בינוני וארוך ומומלץ מאד לבחון את ביצועי הקופה לאורך זמן ולא לאורך חודשים בודדים,הנתונים המוצגים באתר דווחו על ידי הגופים המדווחים ובאחריותם

Textbox65,Textbox77,Textbox78,Textbox83,Textbox84,Textbox103,Textbox85,Textbox86,Textbox87,Textbox88,Textbox89,Textbox90,SHM2,ID2,Textbox105,Textbox92,Textbox93,Textbox94,Textbox104,Textbox106,Textbox107,Textbox108,Textbox98,Textbox99
"שיעור דמי ניהול
ממוצע לשנת
2017",77.5%,-36.2,"11,648.4",0.70%,0.61%,1.46,0.24,1.68%,1.05%,1.05%,," *** הראל אג""ח עד 25% מניות ",101,85.4%,"1,466.9","454,911.9",0.59%,0.45%,,,1.19%,1.19%,1.19%
"שיעור דמי ניהול
ממוצע לשנת
2017",80.4%,-3.8,"6,874.1",0.70%,0.61%,1.51,0.79,1.68%,1.63%,1.63%,, *** מיטב דש גמל לבני  50-60,103,85.4%,"1,466.9","454,911.9",0.59%,0.45%,,,1.19%,1.19%,1.19%
"שיעור דמי ניהול
ממוצע לשנת
2017",87.2%,22.0,739.6,0.58%,0.00%,1.46,-0.45,1.20%,0.82%,0.82%,," *** הלמן-אלדובי בר-יציב אג""ח עד 25% במניות",107,85.4%,"1,466.9","454,911.9",0.59%,0.45%,,,1.19%,1.19%,1.19%
"שיעור דמי ניהול
ממוצע לשנת
2017",83.0%,-26.8,"1,038.7",0.58%,0.04%,0.98,-0.93,-0.96%,0.27%,0.27%,," *** כלל תמר אג""ח ",117,85.4%,"1,466.9","454,911.9",0.59%,0.45%,,,1.19%,1.19%,1.19%
"שיעור דמי ניהול
ממוצע לשנת
2017",88.3%,-1.8,166.3,0.51%,- - -,1.48,0.50,1.20%,1.39%,1.39%,,אנליסט קופה מרכזית לפיצויים מסלול כללי,118,85.4%,"1,466.9","454,911.9",0.59%,0.45%,,,1.19%,1.19%,1.19%
"שיעור דמי ניהול
ממוצע לשנת
2017",85.1%,0.3,935.6,0.73%,0.32%,1.52,-0.11,1.08%,0.95%,0.95%,,מנורה מבטחים יותר מסלול ד,119,85.4%,"1,466.9","454,911.9",0.59%,0.45%,,,1.19%,1.19%,1.19%
"שיעור דמי ניהול
ממוצע לשנת
2017",97.4%,-0.1,75.6,0.45%,- - -,- - -,- - -,- - -,- - -,- - -,,מיטב דש ביטחון מבטיח תשואה 4.5%,120,85.4%,"1,466.9","454,911.9",0.59%,0.45%,,,1.19%,1.19%,1.19%
"שיעור דמי ניהול
ממוצע לשנת
2017",82.7%,-18.9,"1,128.6",0.54%,0.08%,0.75,-1.10,-0.60%,0.52%,0.52%,, *** כלל תמר מדד,124,85.4%,"1,466.9","454,911.9",0.59%,0.45%,,,1.19%,1.19%,1.19%
"שיעור דמי ניהול
ממוצע לשנת
2017",91.3%,4.9,231.8,0.61%,0.05%,1.12,0.88,3.24%,4.20%,4.20%,, *** כלל תמר מניות,127,85.4%,"1,466.9","454,911.9",0.59%,0.45%,,,1.19%,1.19%,1.19%
"שיעור דמי ניהול
ממוצע לשנת
2017",99.6%,-7.8,199.7,0.54%,0.03%,-0.33,-1.42,-0.12%,0.01%,0.01%,, *** כלל תמר שקלי טווח קצר,128,85.4%,"1,466.9","454,911.9",0.59%,0.45%,,,1.19%,1.19%,1.19%
"שיעור דמי ניהול
ממוצע לשנת
2017",89.5%,-2.0,94.4,0.68%,- - -,1.20,-0.50,0.48%,1.07%,1.07%,,** שובל,130,85.4%,"1,466.9","454,911.9",0.59%,0.45%,,,1.19%,1.19%,1.19%
"שיעור דמי ניהול
ממוצע לשנת
2017",76.4%,-35.8,"2,515.2",0.96%,- - -,1.44,-0.23,1.32%,1.45%,1.45%,, *** הלמן-אלדובי השתלמות כללי,132,85.4%,"1,466.9","454,911.9",0.59%,0.45%,,,1.19%,1.19%,1.19%
"שיעור דמי ניהול
ממוצע לשנת
2017",91.3%,1.3,128.4,0.54%,- - -,1.39,0.15,1.08%,1.31%,1.31%,,פסגות שיא פיצויים כללי,150,85.4%,"1,466.9","454,911.9",0.59%,0.45%,,,1.19%,1.19%,1.19%
"שיעור דמי ניהול
ממוצע לשנת
2017",83.0%,-6.1,543.7,0.65%,- - -,0.97,-0.94,-0.84%,0.29%,0.29%,,כלל ברזל,152,85.4%,"1,466.9","454,911.9",0.59%,0.45%,,,1.19%,1.19%,1.19%
"שיעור דמי ניהול
ממוצע לשנת
2017",79.5%,136.2,"5,760.8",0.82%,- - -,1.54,1.42,2.04%,1.45%,1.45%,,הראל השתלמות כללי,154,85.4%,"1,466.9","454,911.9",0.59%,0.45%,,,1.19%,1.19%,1.19%
"שיעור דמי ניהול
ממוצע לשנת
2017",81.5%,0.1,188.7,0.71%,- - -,1.36,0.33,1.32%,1.41%,1.41%,,"הראל קמ""פ מסלול כללי ",155,85.4%,"1,466.9","454,911.9",0.59%,0.45%,,,1.19%,1.19%,1.19%
"שיעור דמי ניהול
ממוצע לשנת
2017",88.3%,-5.2,277.3,0.79%,- - -,1.12,-0.95,-0.48%,0.31%,0.31%,," *** מגדל השתלמות אג""ח",199,85.4%,"1,466.9","454,911.9",0.59%,0.45%,,,1.19%,1.19%,1.19%
"שיעור דמי ניהול
ממוצע לשנת
2017",91.9%,-4.8,95.0,0.65%,0.29%,0.46,-0.50,-2.52%,0.17%,0.17%,,"פסגות גדיש חו""ל",205,85.4%,"1,466.9","454,911.9",0.59%,0.45%,,,1.19%,1.19%,1.19%
"שיעור דמי ניהול
ממוצע לשנת
2017",81.7%,-18.1,"2,122.8",0.64%,0.23%,1.40,-0.83,0.00%,0.57%,0.57%,," *** אקסלנס גמל אג""ח עד 15% מניות",211,85.4%,"1,466.9","454,911.9",0.59%,0.45%,,,1.19%,1.19%,1.19%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.0,0.0,0.50%,- - -,- - -,- - -,- - -,- - -,- - -,לא פעיל," *** ** אוניברסיטת ת""א - מסלול כללי",218,85.4%,"1,466.9","454,911.9",0.59%,0.45%,,,1.19%,1.19%,1.19%
"שיעור דמי ניהול
ממוצע לשנת
2017",87.5%,-5.6,48.2,0.64%,- - -,1.26,-0.09,0.72%,1.50%,1.50%,,אלמוג,219,85.4%,"1,466.9","454,911.9",0.59%,0.45%,,,1.19%,1.19%,1.19%
"שיעור דמי ניהול
ממוצע לשנת
2017",85.6%,-18.2,917.6,0.58%,0.56%,1.41,-0.86,0.24%,0.33%,0.33%,," *** מיטב דש גמל אג""ח ללא מניות",223,85.4%,"1,466.9","454,911.9",0.59%,0.45%,,,1.19%,1.19%,1.19%
"שיעור דמי ניהול
ממוצע לשנת
2017",85.2%,-55.9,"6,785.0",0.00%,- - -,1.37,0.19,1.20%,1.49%,1.49%,, *** ** קופת התגמולים של עובדי בנק לאומי,229,85.4%,"1,466.9","454,911.9",0.59%,0.45%,,,1.19%,1.19%,1.19%
"שיעור דמי ניהול
ממוצע לשנת
2017",91.2%,-18.3,"1,494.4",0.19%,- - -,1.36,-0.47,0.24%,1.57%,1.57%,,"** בל""ד",233,85.4%,"1,466.9","454,911.9",0.59%,0.45%,,,1.19%,1.19%,1.19%
"שיעור דמי ניהול
ממוצע לשנת
2017",88.3%,-10.7,"1,076.6",0.70%,- - -,1.38,-0.44,1.08%,1.25%,1.25%,,פסגות פיצויים כללי,237,85.4%,"1,466.9","454,911.9",0.59%,0.45%,,,1.19%,1.19%,1.19%
"שיעור דמי ניהול
ממוצע לשנת
2017",84.8%,-10.5,613.9,0.81%,- - -,1.33,0.28,0.96%,1.44%,1.44%,, *** דיסקונט לפיצויים,239,85.4%,"1,466.9","454,911.9",0.59%,0.45%,,,1.19%,1.19%,1.19%
"שיעור דמי ניהול
ממוצע לשנת
2017",86.6%,-14.5,"1,388.8",0.55%,- - -,1.28,0.09,0.96%,1.59%,1.59%,,כלל פיצויים למעסיק,241,85.4%,"1,466.9","454,911.9",0.59%,0.45%,,,1.19%,1.19%,1.19%
"שיעור דמי ניהול
ממוצע לשנת
2017",84.0%,-6.0,615.4,0.89%,- - -,1.31,-0.02,0.48%,1.03%,1.03%,, *** אקסלנס מרכזית לפיצויים,242,85.4%,"1,466.9","454,911.9",0.59%,0.45%,,,1.19%,1.19%,1.19%
"שיעור דמי ניהול
ממוצע לשנת
2017",81.4%,-138.8,"11,836.7",0.65%,0.34%,1.39,0.86,1.44%,1.55%,1.55%,," *** אג""ח עד 255 מניות ",253,85.4%,"1,466.9","454,911.9",0.59%,0.45%,,,1.19%,1.19%,1.19%
"שיעור דמי ניהול
ממוצע לשנת
2017",76.3%,-38.2,"3,138.6",0.75%,1.43%,1.50,0.03,1.56%,1.45%,1.45%,, *** הלמן-אלדובי בר-יציב ישראל,257,85.4%,"1,466.9","454,911.9",0.59%,0.45%,,,1.19%,1.19%,1.19%
"שיעור דמי ניהול
ממוצע לשנת
2017",77.4%,-1.3,192.2,0.00%,0.00%,1.71,-0.23,1.32%,0.92%,0.92%,, *** הלמן-אלדובי בר-יציב כללי (לשעבר קופת פקידי מרכנתיל דיסקונט),259,85.4%,"1,466.9","454,911.9",0.59%,0.45%,,,1.19%,1.19%,1.19%
"שיעור דמי ניהול
ממוצע לשנת
2017",86.0%,11.3,411.1,0.68%,0.10%,1.50,1.16,1.44%,1.54%,1.54%,,מנורה מבטחים אמיר כללי,260,85.4%,"1,466.9","454,911.9",0.59%,0.45%,,,1.19%,1.19%,1.19%
"שיעור דמי ניהול
ממוצע לשנת
2017",83.1%,-3.6,209.7,0.91%,- - -,1.59,-0.39,0.96%,1.02%,1.02%,, *** הלמן-אלדובי פיצויים כללי,262,85.4%,"1,466.9","454,911.9",0.59%,0.45%,,,1.19%,1.19%,1.19%
"שיעור דמי ניהול
ממוצע לשנת
2017",81.1%,-20.2,"3,901.1",0.33%,- - -,1.38,0.84,1.44%,1.77%,1.77%,,בר,263,85.4%,"1,466.9","454,911.9",0.59%,0.45%,,,1.19%,1.19%,1.19%
"שיעור דמי ניהול
ממוצע לשנת
2017",90.2%,-14.9,"1,387.5",0.59%,0.26%,1.32,-1.09,0.24%,0.69%,0.69%,,פסגות גדיש אגח עד 20% מניות,270,85.4%,"1,466.9","454,911.9",0.59%,0.45%,,,1.19%,1.19%,1.19%
"שיעור דמי ניהול
ממוצע לשנת
2017",87.7%,-3.0,431.4,0.21%,- - -,1.31,-0.55,0.60%,1.09%,1.09%,,** מישור,282,85.4%,"1,466.9","454,911.9",0.59%,0.45%,,,1.19%,1.19%,1.19%
"שיעור דמי ניהול
ממוצע לשנת
2017",87.0%,-7.4,593.5,0.12%,- - -,1.13,-1.99,0.24%,1.02%,1.02%,,** מורים וגננות - מסלול כללי,284,85.4%,"1,466.9","454,911.9",0.59%,0.45%,,,1.19%,1.19%,1.19%
