TKUFA2,Textbox59,Textbox66,Textbox67
 סיכום פעילות גמל לחודש 11/2004,        (במיליוני ש''ח),קופת גמל היא מכשיר חיסכון לטווח בינוני וארוך ומומלץ מאד לבחון את ביצועי הקופה לאורך זמן ולא לאורך חודשים בודדים,הנתונים המוצגים באתר דווחו על ידי הגופים המדווחים ובאחריותם

Textbox65,Textbox77,Textbox78,Textbox83,Textbox84,Textbox103,Textbox85,Textbox86,Textbox87,Textbox88,Textbox89,Textbox90,SHM2,ID2,Textbox105,Textbox92,Textbox93,Textbox94,Textbox104,Textbox106,Textbox107,Textbox108,Textbox98,Textbox99
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,6.9,"11,024.6",0.70%,0.61%,- - -,- - -,- - -,6.55%,1.42%,," *** הראל אג""ח עד 25% מניות ",101,,424.9,"201,571.1",0.59%,0.45%,,,,6.70%,1.52%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,5.2,"1,486.3",- - -,- - -,- - -,- - -,- - -,7.39%,1.68%,לא פעיל, *** אקסלנס גמל פלטינום,102,,424.9,"201,571.1",0.59%,0.45%,,,,6.70%,1.52%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-1.2,"4,230.6",0.70%,0.61%,- - -,- - -,- - -,6.56%,1.44%,, *** מיטב דש גמל לבני  50-60,103,,424.9,"201,571.1",0.59%,0.45%,,,,6.70%,1.52%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-10.0,"2,420.0",- - -,- - -,- - -,- - -,- - -,6.43%,1.63%,לא פעיל,פסגות צור,104,,424.9,"201,571.1",0.59%,0.45%,,,,6.70%,1.52%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.3,123.4,- - -,- - -,- - -,- - -,- - -,6.19%,1.82%,לא פעיל,ישיר המלאכה,105,,424.9,"201,571.1",0.59%,0.45%,,,,6.70%,1.52%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,31.3,"17,659.8",- - -,- - -,- - -,- - -,- - -,7.02%,1.73%,לא פעיל, *** פסגות גדיש כללי,106,,424.9,"201,571.1",0.59%,0.45%,,,,6.70%,1.52%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-1.0,445.1,0.58%,0.00%,- - -,- - -,- - -,7.03%,1.17%,," *** הלמן-אלדובי בר-יציב אג""ח עד 25% במניות",107,,424.9,"201,571.1",0.59%,0.45%,,,,6.70%,1.52%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-2.9,183.9,- - -,- - -,- - -,- - -,- - -,6.47%,1.43%,לא פעיל,** נדבכים,108,,424.9,"201,571.1",0.59%,0.45%,,,,6.70%,1.52%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.1,16.9,- - -,- - -,- - -,- - -,- - -,14.58%,5.71%,לא פעיל, *** להיט מניות,109,,424.9,"201,571.1",0.59%,0.45%,,,,6.70%,1.52%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.1,54.0,- - -,- - -,- - -,- - -,- - -,6.69%,1.52%,לא פעיל,** ויתקין,110,,424.9,"201,571.1",0.59%,0.45%,,,,6.70%,1.52%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.9,967.4,- - -,- - -,- - -,- - -,- - -,6.03%,1.82%,לא פעיל, *** מיטב מירון,111,,424.9,"201,571.1",0.59%,0.45%,,,,6.70%,1.52%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.4,169.4,- - -,- - -,- - -,- - -,- - -,6.33%,1.69%,לא פעיל,הראל רימון,112,,424.9,"201,571.1",0.59%,0.45%,,,,6.70%,1.52%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,2.1,"2,646.9",- - -,- - -,- - -,- - -,- - -,7.25%,1.92%,לא פעיל, *** פסגות קרן אור,113,,424.9,"201,571.1",0.59%,0.45%,,,,6.70%,1.52%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.1,21.9,- - -,- - -,- - -,- - -,- - -,5.54%,0.34%,לא פעיל,אי.בי.אי שחר,114,,424.9,"201,571.1",0.59%,0.45%,,,,6.70%,1.52%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,1.4,653.1,- - -,- - -,- - -,- - -,- - -,6.75%,1.55%,לא פעיל, *** ** הגומל מסלול כללי,115,,424.9,"201,571.1",0.59%,0.45%,,,,6.70%,1.52%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.1,2.4,- - -,- - -,- - -,- - -,- - -,8.77%,1.34%,לא פעיל,** סוכני הבטוח,116,,424.9,"201,571.1",0.59%,0.45%,,,,6.70%,1.52%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.2,13.0,0.58%,0.04%,- - -,- - -,- - -,5.61%,0.49%,," *** כלל תמר אג""ח ",117,,424.9,"201,571.1",0.59%,0.45%,,,,6.70%,1.52%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.1,43.4,0.51%,- - -,- - -,- - -,- - -,7.97%,1.62%,,אנליסט קופה מרכזית לפיצויים מסלול כללי,118,,424.9,"201,571.1",0.59%,0.45%,,,,6.70%,1.52%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,3.1,628.6,0.73%,0.32%,- - -,- - -,- - -,6.17%,1.33%,,מנורה מבטחים יותר מסלול ד,119,,424.9,"201,571.1",0.59%,0.45%,,,,6.70%,1.52%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.3,55.5,0.45%,- - -,- - -,- - -,- - -,- - -,- - -,,מיטב דש ביטחון מבטיח תשואה 4.5%,120,,424.9,"201,571.1",0.59%,0.45%,,,,6.70%,1.52%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.3,26.8,- - -,- - -,- - -,- - -,- - -,6.16%,1.81%,לא פעיל,ישיר תוחלת,121,,424.9,"201,571.1",0.59%,0.45%,,,,6.70%,1.52%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.4,92.8,- - -,- - -,- - -,- - -,- - -,5.90%,1.31%,לא פעיל,מנורה גמל פלס,122,,424.9,"201,571.1",0.59%,0.45%,,,,6.70%,1.52%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,1.3,131.1,- - -,- - -,- - -,- - -,- - -,8.36%,2.55%,לא פעיל, *** אקסלנס גמולה,123,,424.9,"201,571.1",0.59%,0.45%,,,,6.70%,1.52%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,1.6,530.1,0.54%,0.08%,- - -,- - -,- - -,5.98%,0.11%,, *** כלל תמר מדד,124,,424.9,"201,571.1",0.59%,0.45%,,,,6.70%,1.52%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,3.3,171.6,- - -,- - -,- - -,- - -,- - -,5.73%,1.96%,לא פעיל, *** אשכולות כללי,125,,424.9,"201,571.1",0.59%,0.45%,,,,6.70%,1.52%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-1.2,55.5,- - -,- - -,- - -,- - -,- - -,1.84%,-1.37%,לא פעיל," *** כלל תמר מט""ח",126,,424.9,"201,571.1",0.59%,0.45%,,,,6.70%,1.52%
