TKUFA2,Textbox59,Textbox66,Textbox67
 סיכום פעילות גמל לחודש 07/2001,        (במיליוני ש''ח),קופת גמל היא מכשיר חיסכון לטווח בינוני וארוך ומומלץ מאד לבחון את ביצועי הקופה לאורך זמן ולא לאורך חודשים בודדים,הנתונים המוצגים באתר דווחו על ידי הגופים המדווחים ובאחריותם

Textbox65,Textbox77,Textbox78,Textbox83,Textbox84,Textbox103,Textbox85,Textbox86,Textbox87,Textbox88,Textbox89,Textbox90,SHM2,ID2,Textbox105,Textbox92,Textbox93,Textbox94,Textbox104,Textbox106,Textbox107,Textbox108,Textbox98,Textbox99
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-67.1,"10,110.7",0.70%,0.61%,- - -,- - -,- - -,4.47%,1.62%,," *** הראל אג""ח עד 25% מניות ",101,,-135.1,"164,063.8",0.59%,0.45%,,,,3.75%,1.48%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-3.9,"1,175.3",- - -,- - -,- - -,- - -,- - -,3.08%,1.66%,לא פעיל, *** אקסלנס גמל פלטינום,102,,-135.1,"164,063.8",0.59%,0.45%,,,,3.75%,1.48%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-12.9,"3,740.2",0.70%,0.61%,- - -,- - -,- - -,3.13%,1.41%,, *** מיטב דש גמל לבני  50-60,103,,-135.1,"164,063.8",0.59%,0.45%,,,,3.75%,1.48%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-21.6,"2,501.5",- - -,- - -,- - -,- - -,- - -,4.28%,1.23%,לא פעיל,פסגות צור,104,,-135.1,"164,063.8",0.59%,0.45%,,,,3.75%,1.48%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-3.0,145.6,- - -,- - -,- - -,- - -,- - -,2.15%,1.80%,לא פעיל,ישיר המלאכה,105,,-135.1,"164,063.8",0.59%,0.45%,,,,3.75%,1.48%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-75.5,"15,585.3",- - -,- - -,- - -,- - -,- - -,2.91%,1.63%,לא פעיל, *** פסגות גדיש כללי,106,,-135.1,"164,063.8",0.59%,0.45%,,,,3.75%,1.48%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-7.5,513.3,0.58%,0.00%,- - -,- - -,- - -,2.00%,1.39%,," *** הלמן-אלדובי בר-יציב אג""ח עד 25% במניות",107,,-135.1,"164,063.8",0.59%,0.45%,,,,3.75%,1.48%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-3.8,209.4,- - -,- - -,- - -,- - -,- - -,- - -,- - -,לא פעיל,** נדבכים,108,,-135.1,"164,063.8",0.59%,0.45%,,,,3.75%,1.48%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.2,5.4,- - -,- - -,- - -,- - -,- - -,-1.49%,1.14%,לא פעיל, *** להיט מניות,109,,-135.1,"164,063.8",0.59%,0.45%,,,,3.75%,1.48%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.2,48.6,- - -,- - -,- - -,- - -,- - -,3.22%,1.64%,לא פעיל,** ויתקין,110,,-135.1,"164,063.8",0.59%,0.45%,,,,3.75%,1.48%
