TKUFA2,Textbox59,Textbox66,Textbox67
 סיכום פעילות לפי קופה לתקופה נבחרת 07/1999 - 06/2018,        (במיליוני ש''ח),קופת גמל היא מכשיר חיסכון לטווח בינוני וארוך ומומלץ מאד לבחון את ביצועי הקופה לאורך זמן ולא לאורך חודשים בודדים,הנתונים המוצגים באתר דווחו על ידי הגופים המדווחים ובאחריותם

Textbox65,Textbox77,Textbox78,Textbox83,Textbox84,Textbox113,Textbox85,Textbox86,Textbox87,Textbox88,Textbox89,Textbox90,SHM2,ID2,Textbox103,Textbox104,Textbox105,Textbox106,Textbox112,Textbox110,Textbox107,Textbox108,Textbox109,SHM3,ID3,Textbox114,Textbox92,Textbox93,Textbox94,Textbox111,Textbox115,Textbox96,Textbox97,Textbox98,Textbox99
"שיעור דמי ניהול ממוצע לשנת
2017",94.5%,"1,756.4","1,793.7",0.73%,0.00%,- - -,- - -,- - -,- - -,06/18-11/16,,אלטשולר שחם חיסכון פלוס כללי,7798,94.5%,"1,756.4","1,793.7",0.73%,0.00%,דווח,- - -,06/18-11/16,,אלטשולר שחם חיסכון פלוס כללי,7798,- - -,"5,297.2","5,421.1",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",92.7%,718.0,743.7,0.66%,0.00%,- - -,- - -,- - -,- - -,06/18-11/16,,אלטשולר שחם חיסכון פלוס מניות ,7799,92.7%,718.0,743.7,0.66%,0.00%,דווח,- - -,06/18-11/16,,אלטשולר שחם חיסכון פלוס מניות ,7799,- - -,"5,297.2","5,421.1",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",95.6%,257.0,259.9,0.75%,0.00%,- - -,- - -,- - -,- - -,06/18-11/16,,"אלטשולר שחם חיסכון פלוס אג""ח עד 15% במניות",7800,95.6%,257.0,259.9,0.75%,0.00%,דווח,- - -,06/18-11/16,,"אלטשולר שחם חיסכון פלוס אג""ח עד 15% במניות",7800,- - -,"5,297.2","5,421.1",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",96.6%,32.6,32.6,0.71%,0.00%,- - -,- - -,- - -,- - -,06/18-11/16,,"אלטשולר שחם חיסכון פלוס אג""ח ללא מניות",7801,96.6%,32.6,32.6,0.71%,0.00%,דווח,- - -,06/18-11/16,,"אלטשולר שחם חיסכון פלוס אג""ח ללא מניות",7801,- - -,"5,297.2","5,421.1",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",100.0%,7.6,7.5,0.73%,0.00%,- - -,- - -,- - -,- - -,06/18-11/16,,אלטשולר שחם חיסכון פלוס כספי,7802,100.0%,7.6,7.5,0.73%,0.00%,דווח,- - -,06/18-11/16,,אלטשולר שחם חיסכון פלוס כספי,7802,- - -,"5,297.2","5,421.1",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",91.4%,242.6,247.2,0.54%,- - -,- - -,- - -,- - -,- - -,06/18-11/16,,פסגות גמל להשקעה כללי,7810,91.4%,242.6,247.2,0.54%,- - -,דווח,- - -,06/18-11/16,,פסגות גמל להשקעה כללי,7810,- - -,"5,297.2","5,421.1",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",93.3%,51.3,53.3,0.52%,- - -,- - -,- - -,- - -,- - -,06/18-11/16,,פסגות גמל להשקעה מניות  ,7811,93.3%,51.3,53.3,0.52%,- - -,דווח,- - -,06/18-11/16,,פסגות גמל להשקעה מניות  ,7811,- - -,"5,297.2","5,421.1",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",95.9%,9.2,9.2,0.58%,- - -,- - -,- - -,- - -,- - -,06/18-11/16,,"פסגות גמל להשקעה אג""ח",7812,95.9%,9.2,9.2,0.58%,- - -,דווח,- - -,06/18-11/16,,"פסגות גמל להשקעה אג""ח",7812,- - -,"5,297.2","5,421.1",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",96.3%,4.1,4.2,0.66%,- - -,- - -,- - -,- - -,- - -,06/18-11/16,,"פסגות גמל להשקעה חו""ל ",7813,96.3%,4.1,4.2,0.66%,- - -,דווח,- - -,06/18-11/16,,"פסגות גמל להשקעה חו""ל ",7813,- - -,"5,297.2","5,421.1",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",93.9%,32.8,33.1,0.59%,- - -,- - -,- - -,- - -,- - -,06/18-11/16,,"פסגות גמל להשקעה אג""ח עד 10% מניות",7814,93.9%,32.8,33.1,0.59%,- - -,דווח,- - -,06/18-11/16,,"פסגות גמל להשקעה אג""ח עד 10% מניות",7814,- - -,"5,297.2","5,421.1",,---,- - -,- - -,- - -,,06/18-07/99
