TKUFA2,Textbox59,Textbox66,Textbox67
 סיכום פעילות לפי קופה לתקופה נבחרת 07/1999 - 06/2018,        (במיליוני ש''ח),קופת גמל היא מכשיר חיסכון לטווח בינוני וארוך ומומלץ מאד לבחון את ביצועי הקופה לאורך זמן ולא לאורך חודשים בודדים,הנתונים המוצגים באתר דווחו על ידי הגופים המדווחים ובאחריותם

Textbox65,Textbox77,Textbox78,Textbox83,Textbox84,Textbox113,Textbox85,Textbox86,Textbox87,Textbox88,Textbox89,Textbox90,SHM2,ID2,Textbox103,Textbox104,Textbox105,Textbox106,Textbox112,Textbox110,Textbox107,Textbox108,Textbox109,SHM3,ID3,Textbox114,Textbox92,Textbox93,Textbox94,Textbox111,Textbox115,Textbox96,Textbox97,Textbox98,Textbox99
"שיעור דמי ניהול ממוצע לשנת
2017",100.0%,15.7,15.5,- - -,- - -,- - -,- - -,- - -,- - -,06/18-12/16,,אינטרגמל חיסכון לילד - הלכה,9113,100.0%,15.7,15.5,- - -,- - -,דווח,- - -,06/18-12/16,,אינטרגמל חיסכון לילד - הלכה,9113,- - -,"3,778.3","3,920.4",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",100.0%,4.9,4.8,- - -,- - -,- - -,- - -,- - -,- - -,06/18-12/16,,אינטרגמל חיסכון לילד - שריעה,9303,100.0%,4.9,4.8,- - -,- - -,דווח,- - -,06/18-12/16,,אינטרגמל חיסכון לילד - שריעה,9303,- - -,"3,778.3","3,920.4",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",99.8%,5.0,5.1,- - -,- - -,- - -,- - -,- - -,- - -,06/18-12/16,,אינטרגמל חיסכון לילד - חוסכים המעדיפים סיכון בינוני,9414,99.8%,5.0,5.1,- - -,- - -,דווח,- - -,06/18-12/16,,אינטרגמל חיסכון לילד - חוסכים המעדיפים סיכון בינוני,9414,- - -,"3,778.3","3,920.4",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",99.9%,31.5,33.3,- - -,- - -,- - -,- - -,- - -,- - -,06/18-12/16,,אינטרגמל חיסכון לילד - חוסכים המעדיפים סיכון מוגבר,9420,99.9%,31.5,33.3,- - -,- - -,דווח,- - -,06/18-12/16,,אינטרגמל חיסכון לילד - חוסכים המעדיפים סיכון מוגבר,9420,- - -,"3,778.3","3,920.4",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",99.8%,88.2,90.4,- - -,- - -,- - -,- - -,- - -,- - -,06/18-12/16,,אינטרגמל חיסכון לילד - חוסכים המעדיפים סיכון מועט,9421,99.8%,88.2,90.4,- - -,- - -,דווח,- - -,06/18-12/16,,אינטרגמל חיסכון לילד - חוסכים המעדיפים סיכון מועט,9421,- - -,"3,778.3","3,920.4",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",99.6%,91.8,94.6,0.00%,0.00%,- - -,- - -,- - -,- - -,06/18-12/16,,הראל חסכון לילד - הלכה,9555,99.6%,91.8,94.6,0.00%,0.00%,דווח,- - -,06/18-12/16,,הראל חסכון לילד - הלכה,9555,- - -,"3,778.3","3,920.4",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",99.7%,22.8,23.5,0.00%,0.00%,- - -,- - -,- - -,- - -,06/18-11/16,,מגדל  חסכון לילד - הלכה,9895,99.7%,22.8,23.5,0.00%,0.00%,דווח,- - -,06/18-11/16,,מגדל  חסכון לילד - הלכה,9895,- - -,"3,778.3","3,920.4",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",94.0%,99.6,101.8,0.00%,0.00%,- - -,- - -,- - -,- - -,06/18-11/16,,מגדל חסכון לילד - חוסכים המעדיפים סיכון מועט,9896,94.0%,99.6,101.8,0.00%,0.00%,דווח,- - -,06/18-11/16,,מגדל חסכון לילד - חוסכים המעדיפים סיכון מועט,9896,- - -,"3,778.3","3,920.4",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",95.5%,24.0,24.8,0.00%,0.00%,- - -,- - -,- - -,- - -,06/18-11/16,,מגדל  חסכון לילד - חוסכים המעדיפים סיכון בינוני,9897,95.5%,24.0,24.8,0.00%,0.00%,דווח,- - -,06/18-11/16,,מגדל  חסכון לילד - חוסכים המעדיפים סיכון בינוני,9897,- - -,"3,778.3","3,920.4",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",99.5%,15.3,16.0,0.00%,0.00%,- - -,- - -,- - -,- - -,06/18-11/16,,מגדל  חסכון לילד - חוסכים המעדיפים סיכון מוגבר,9898,99.5%,15.3,16.0,0.00%,0.00%,דווח,- - -,06/18-11/16,,מגדל  חסכון לילד - חוסכים המעדיפים סיכון מוגבר,9898,- - -,"3,778.3","3,920.4",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",88.2%,92.3,94.2,0.00%,0.00%,- - -,- - -,- - -,- - -,06/18-12/16,,אקסלנס חיסכון לילד - חוסכים המעדיפים סיכון מועט,11310,88.2%,92.3,94.2,0.00%,0.00%,דווח,- - -,06/18-12/16,,אקסלנס חיסכון לילד - חוסכים המעדיפים סיכון מועט,11310,- - -,"3,778.3","3,920.4",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",94.2%,16.8,17.8,0.00%,0.00%,- - -,- - -,- - -,- - -,06/18-12/16,,אקסלנס חיסכון לילד - חוסכים המעדיפים סיכון מוגבר,11311,94.2%,16.8,17.8,0.00%,0.00%,דווח,- - -,06/18-12/16,,אקסלנס חיסכון לילד - חוסכים המעדיפים סיכון מוגבר,11311,- - -,"3,778.3","3,920.4",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",88.3%,17.6,18.3,0.00%,0.00%,- - -,- - -,- - -,- - -,06/18-12/16,,אקסלנס חיסכון לילד - חוסכים המעדיפים סיכון בינוני,11312,88.3%,17.6,18.3,0.00%,0.00%,דווח,- - -,06/18-12/16,,אקסלנס חיסכון לילד - חוסכים המעדיפים סיכון בינוני,11312,- - -,"3,778.3","3,920.4",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",100.0%,21.8,22.4,0.00%,0.00%,- - -,- - -,- - -,- - -,06/18-11/16,,מנורה מבטחים חסכון לילד - הלכה,11320,100.0%,21.8,22.4,0.00%,0.00%,דווח,- - -,06/18-11/16,,מנורה מבטחים חסכון לילד - הלכה,11320,- - -,"3,778.3","3,920.4",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",91.5%,105.4,107.3,0.00%,0.00%,- - -,- - -,- - -,- - -,06/18-11/16,,מנורה מבטחים חסכון לילד - חוסכים המעדיפים סיכון מועט,11321,91.5%,105.4,107.3,0.00%,0.00%,דווח,- - -,06/18-11/16,,מנורה מבטחים חסכון לילד - חוסכים המעדיפים סיכון מועט,11321,- - -,"3,778.3","3,920.4",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",89.5%,30.7,31.7,0.00%,0.00%,- - -,- - -,- - -,- - -,06/18-11/16,,מנורה מבטחים חסכון לילד - חוסכים המעדיפים סיכון בינוני,11322,89.5%,30.7,31.7,0.00%,0.00%,דווח,- - -,06/18-11/16,,מנורה מבטחים חסכון לילד - חוסכים המעדיפים סיכון בינוני,11322,- - -,"3,778.3","3,920.4",,---,- - -,- - -,- - -,,06/18-07/99
