TKUFA2,Textbox59,Textbox66,Textbox67
 סיכום פעילות לפי קופה לתקופה נבחרת 06/2017 - 05/2018,        (במיליוני ש''ח),קופת גמל היא מכשיר חיסכון לטווח בינוני וארוך ומומלץ מאד לבחון את ביצועי הקופה לאורך זמן ולא לאורך חודשים בודדים,הנתונים המוצגים באתר דווחו על ידי הגופים המדווחים ובאחריותם

Textbox65,Textbox77,Textbox78,Textbox83,Textbox84,Textbox113,Textbox85,Textbox86,Textbox87,Textbox88,Textbox89,Textbox90,SHM2,ID2,Textbox103,Textbox104,Textbox105,Textbox106,Textbox112,Textbox110,Textbox107,Textbox108,Textbox109,SHM3,ID3,Textbox114,Textbox92,Textbox93,Textbox94,Textbox111,Textbox115,Textbox96,Textbox97,Textbox98,Textbox99
"שיעור דמי ניהול ממוצע לשנת
2017",76.6%,-185.2,"2,462.8",0.96%,- - -,1.15,4.30%,2.05%,4.62%,05/18-06/17,, *** הלמן-אלדובי השתלמות כללי,132,76.6%,-185.2,"2,462.8",0.96%,- - -,דווח,4.62%,05/18-06/17,, *** הלמן-אלדובי השתלמות כללי,132,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
"שיעור דמי ניהול ממוצע לשנת
2017",79.0%,"1,459.6","6,186.1",0.82%,- - -,1.22,4.96%,3.12%,4.62%,05/18-06/17,,הראל השתלמות כללי,154,79.0%,"1,459.6","6,186.1",0.82%,- - -,דווח,4.62%,05/18-06/17,,הראל השתלמות כללי,154,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
"שיעור דמי ניהול ממוצע לשנת
2017",88.1%,-35.7,268.4,0.79%,- - -,0.99,2.58%,1.63%,2.65%,05/18-06/17,," *** מגדל השתלמות אג""ח",199,88.1%,-35.7,268.4,0.79%,- - -,דווח,2.65%,05/18-06/17,," *** מגדל השתלמות אג""ח",199,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
"שיעור דמי ניהול ממוצע לשנת
2017",88.1%,6.3,430.6,0.21%,- - -,0.98,3.99%,1.80%,2.94%,05/18-06/17,,** מישור,282,88.1%,6.3,430.6,0.21%,- - -,דווח,2.94%,05/18-06/17,,** מישור,282,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
"שיעור דמי ניהול ממוצע לשנת
2017",86.1%,29.6,599.5,0.12%,- - -,0.91,3.59%,1.71%,3.40%,05/18-06/17,,** מורים וגננות - מסלול כללי,284,86.1%,29.6,599.5,0.12%,- - -,דווח,3.40%,05/18-06/17,,** מורים וגננות - מסלול כללי,284,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
"שיעור דמי ניהול ממוצע לשנת
2017",85.0%,-2.2,519.7,0.12%,- - -,0.94,3.79%,1.83%,3.43%,05/18-06/17,,** מורים תיכוניים - מסלול כללי,285,85.0%,-2.2,519.7,0.12%,- - -,דווח,3.43%,05/18-06/17,,** מורים תיכוניים - מסלול כללי,285,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
"שיעור דמי ניהול ממוצע לשנת
2017",82.0%,-61.8,"2,314.7",0.61%,- - -,1.33,5.34%,3.53%,6.05%,05/18-06/17,,** אומגה קרן השתלמות מסלול כללי,286,82.0%,-61.8,"2,314.7",0.61%,- - -,דווח,6.05%,05/18-06/17,,** אומגה קרן השתלמות מסלול כללי,286,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
"שיעור דמי ניהול ממוצע לשנת
2017",89.8%,-243.9,"3,011.4",0.21%,- - -,0.95,4.04%,1.96%,4.11%,05/18-06/17,,** קרן השתלמות לאקדמאים במדעי החברה והרוח מסלול כללי,288,89.8%,-243.9,"3,011.4",0.21%,- - -,דווח,4.11%,05/18-06/17,,** קרן השתלמות לאקדמאים במדעי החברה והרוח מסלול כללי,288,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
"שיעור דמי ניהול ממוצע לשנת
2017",85.8%,-12.5,167.3,0.33%,- - -,1.10,4.37%,2.44%,4.28%,05/18-06/17,,** קרן השתלמות לעובדי בנק ישראל,289,85.8%,-12.5,167.3,0.33%,- - -,דווח,4.28%,05/18-06/17,,** קרן השתלמות לעובדי בנק ישראל,289,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
"שיעור דמי ניהול ממוצע לשנת
2017",89.8%,-271.3,"2,286.8",0.20%,- - -,1.01,4.17%,2.04%,3.89%,05/18-06/17,,** הנדסאים וטכנאים - מסלול כללי,290,89.8%,-271.3,"2,286.8",0.20%,- - -,דווח,3.89%,05/18-06/17,,** הנדסאים וטכנאים - מסלול כללי,290,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
