TKUFA2,Textbox59,Textbox66,Textbox67
 סיכום פעילות לפי קופה לתקופה נבחרת 07/1999 - 06/2018,        (במיליוני ש''ח),קופת גמל היא מכשיר חיסכון לטווח בינוני וארוך ומומלץ מאד לבחון את ביצועי הקופה לאורך זמן ולא לאורך חודשים בודדים,הנתונים המוצגים באתר דווחו על ידי הגופים המדווחים ובאחריותם

Textbox65,Textbox77,Textbox78,Textbox83,Textbox84,Textbox113,Textbox85,Textbox86,Textbox87,Textbox88,Textbox89,Textbox90,SHM2,ID2,Textbox103,Textbox104,Textbox105,Textbox106,Textbox112,Textbox110,Textbox107,Textbox108,Textbox109,SHM3,ID3,Textbox114,Textbox92,Textbox93,Textbox94,Textbox111,Textbox115,Textbox96,Textbox97,Textbox98,Textbox99
"שיעור דמי ניהול ממוצע לשנת
2017",88.6%,74.0,158.8,0.51%,- - -,1.15,4.69%,4.13%,298.79%,06/18-07/99,,אנליסט קופה מרכזית לפיצויים מסלול כללי,118,88.6%,74.0,158.8,0.51%,- - -,דווח,298.79%,06/18-07/99,,אנליסט קופה מרכזית לפיצויים מסלול כללי,118,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,-27.5,- - -,- - -,- - -,- - -,- - -,- - -,- - -,07/14-07/99,לא פעיל, *** דש קפיטל-פיצויים,138,- - -,-27.5,- - -,- - -,- - -,דווח,- - -,07/14-07/99,לא פעיל, *** דש קפיטל-פיצויים,138,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,-20.7,- - -,- - -,- - -,- - -,- - -,- - -,- - -,05/06-07/99,לא פעיל,מבטחים-פיצויים,140,- - -,-20.7,- - -,- - -,- - -,אין נתונים לתחום המבוקש,- - -,05/06-07/99,לא פעיל,מבטחים-פיצויים,140,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,-22.6,- - -,- - -,- - -,- - -,- - -,- - -,- - -,12/08-07/99,לא פעיל,הלמן-אלדובי לפיצויים,144,- - -,-22.6,- - -,- - -,- - -,דווח,- - -,12/08-07/99,לא פעיל,הלמן-אלדובי לפיצויים,144,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",91.3%,109.1,126.8,0.54%,- - -,1.13,4.65%,3.21%,222.11%,06/18-07/99,,פסגות שיא פיצויים כללי,150,91.3%,109.1,126.8,0.54%,- - -,דווח,222.11%,06/18-07/99,,פסגות שיא פיצויים כללי,150,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",87.2%,231.3,491.5,0.65%,- - -,0.84,2.65%,2.14%,214.16%,06/18-07/99,,כלל ברזל,152,87.2%,231.3,491.5,0.65%,- - -,דווח,214.16%,06/18-07/99,,כלל ברזל,152,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",81.2%,94.1,186.2,0.71%,- - -,1.10,4.63%,3.41%,253.61%,06/18-07/99,,"הראל קמ""פ מסלול כללי ",155,81.2%,94.1,186.2,0.71%,- - -,דווח,253.61%,06/18-07/99,,"הראל קמ""פ מסלול כללי ",155,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,-63.5,- - -,- - -,- - -,- - -,- - -,- - -,- - -,12/13-07/99,לא פעיל, *** אקסלנס טפחות מרכזית,173,- - -,-63.5,- - -,- - -,- - -,דווח,- - -,12/13-07/99,לא פעיל, *** אקסלנס טפחות מרכזית,173,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,-3.3,- - -,- - -,- - -,- - -,- - -,- - -,- - -,11/04-07/99,לא פעיל,מניב פיצויים,176,- - -,-3.3,- - -,- - -,- - -,אין נתונים לתחום המבוקש,- - -,11/04-07/99,לא פעיל,מניב פיצויים,176,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,-77.4,- - -,- - -,- - -,- - -,- - -,- - -,- - -,06/12-07/99,לא פעיל,** אמישרגז,215,- - -,-77.4,- - -,- - -,- - -,דווח,- - -,06/12-07/99,לא פעיל,** אמישרגז,215,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",87.5%,-68.7,44.3,0.64%,- - -,1.01,4.43%,3.02%,237.20%,06/18-07/99,,אלמוג,219,87.5%,-68.7,44.3,0.64%,- - -,דווח,237.20%,06/18-07/99,,אלמוג,219,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,-36.0,- - -,- - -,- - -,- - -,- - -,- - -,- - -,07/13-07/99,לא פעיל, *** עומרים קופה מרכזית לפיצויים,231,- - -,-36.0,- - -,- - -,- - -,דווח,- - -,07/13-07/99,לא פעיל, *** עומרים קופה מרכזית לפיצויים,231,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",88.6%,"-1,832.2","1,409.8",0.19%,- - -,0.89,3.85%,2.42%,221.83%,06/18-07/99,,"** בל""ד",233,88.6%,"-1,832.2","1,409.8",0.19%,- - -,דווח,221.83%,06/18-07/99,,"** בל""ד",233,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",87.6%,"-6,425.0","1,026.1",0.70%,- - -,1.16,4.60%,2.79%,173.35%,06/18-07/99,,פסגות פיצויים כללי,237,87.6%,"-6,425.0","1,026.1",0.70%,- - -,דווח,173.35%,06/18-07/99,,פסגות פיצויים כללי,237,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",84.6%,"-2,149.6",580.5,0.81%,- - -,1.12,4.69%,3.34%,244.97%,06/18-07/99,, *** דיסקונט לפיצויים,239,84.6%,"-2,149.6",580.5,0.81%,- - -,דווח,244.97%,06/18-07/99,, *** דיסקונט לפיצויים,239,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,0.0,- - -,- - -,- - -,- - -,- - -,- - -,- - -,12/99-12/99,לא פעיל,פיצויים בב ד,240,- - -,0.0,- - -,- - -,- - -,אין נתונים לתחום המבוקש,- - -,12/99-12/99,לא פעיל,פיצויים בב ד,240,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",86.1%,"-4,416.1","1,328.1",0.55%,- - -,1.06,4.60%,2.97%,231.72%,06/18-07/99,,כלל פיצויים למעסיק,241,86.1%,"-4,416.1","1,328.1",0.55%,- - -,דווח,231.72%,06/18-07/99,,כלל פיצויים למעסיק,241,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",84.0%,-840.8,710.3,0.89%,- - -,1.13,4.73%,3.04%,228.07%,06/18-07/99,, *** אקסלנס מרכזית לפיצויים,242,84.0%,-840.8,710.3,0.89%,- - -,דווח,228.07%,06/18-07/99,, *** אקסלנס מרכזית לפיצויים,242,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,-198.8,- - -,- - -,- - -,- - -,- - -,- - -,- - -,12/09-07/99,לא פעיל,איילון מרכזית לפיצויים ב,246,- - -,-198.8,- - -,- - -,- - -,דווח,- - -,12/09-07/99,לא פעיל,איילון מרכזית לפיצויים ב,246,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,"-1,808.7",- - -,- - -,- - -,- - -,- - -,- - -,- - -,07/14-07/99,לא פעיל, *** מיטב מרום מסלול כללי,248,- - -,"-1,808.7",- - -,- - -,- - -,דווח,- - -,07/14-07/99,לא פעיל, *** מיטב מרום מסלול כללי,248,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,-65.0,- - -,- - -,- - -,- - -,- - -,- - -,- - -,12/10-07/99,לא פעיל,ישיר פיצויים המלאכה,250,- - -,-65.0,- - -,- - -,- - -,דווח,- - -,12/10-07/99,לא פעיל,ישיר פיצויים המלאכה,250,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,-53.8,- - -,- - -,- - -,- - -,- - -,- - -,- - -,12/10-07/99,לא פעיל,** ישיר לפיצויים,255,- - -,-53.8,- - -,- - -,- - -,דווח,- - -,12/10-07/99,לא פעיל,** ישיר לפיצויים,255,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",82.8%,-230.6,191.5,0.91%,- - -,1.28,4.24%,2.68%,205.06%,06/18-07/99,, *** הלמן-אלדובי פיצויים כללי,262,82.8%,-230.6,191.5,0.91%,- - -,דווח,205.06%,06/18-07/99,, *** הלמן-אלדובי פיצויים כללי,262,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,-44.4,- - -,- - -,- - -,- - -,- - -,- - -,- - -,09/13-07/99,לא פעיל, *** הבטחון-פיצויים,268,- - -,-44.4,- - -,- - -,- - -,דווח,- - -,09/13-07/99,לא פעיל, *** הבטחון-פיצויים,268,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
