TKUFA2,Textbox59,Textbox66,Textbox67
 סיכום פעילות לפי קופה לתקופה נבחרת 07/1999 - 06/2018,        (במיליוני ש''ח),קופת גמל היא מכשיר חיסכון לטווח בינוני וארוך ומומלץ מאד לבחון את ביצועי הקופה לאורך זמן ולא לאורך חודשים בודדים,הנתונים המוצגים באתר דווחו על ידי הגופים המדווחים ובאחריותם

Textbox65,Textbox77,Textbox78,Textbox83,Textbox84,Textbox113,Textbox85,Textbox86,Textbox87,Textbox88,Textbox89,Textbox90,SHM2,ID2,Textbox103,Textbox104,Textbox105,Textbox106,Textbox112,Textbox110,Textbox107,Textbox108,Textbox109,SHM3,ID3,Textbox114,Textbox92,Textbox93,Textbox94,Textbox111,Textbox115,Textbox96,Textbox97,Textbox98,Textbox99
"שיעור דמי ניהול ממוצע לשנת
2017",76.7%,"-12,953.2","11,273.0",0.70%,0.61%,1.26,4.94%,3.28%,228.60%,06/18-07/99,," *** הראל אג""ח עד 25% מניות ",101,76.7%,"-12,953.2","11,273.0",0.70%,0.61%,דווח,228.60%,06/18-07/99,," *** הראל אג""ח עד 25% מניות ",101,84.2%,"-21,384.9","221,455.0",0.58%,0.47%,- - -,4.77%,3.40%,220.80%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,"-1,081.4",- - -,- - -,- - -,- - -,- - -,- - -,- - -,12/13-07/99,לא פעיל, *** אקסלנס גמל פלטינום,102,- - -,"-1,081.4",- - -,- - -,- - -,דווח,- - -,12/13-07/99,לא פעיל, *** אקסלנס גמל פלטינום,102,84.2%,"-21,384.9","221,455.0",0.58%,0.47%,- - -,4.77%,3.40%,220.80%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",79.1%,"-5,674.6","6,790.8",0.70%,0.61%,1.30,5.15%,3.59%,252.87%,06/18-07/99,, *** מיטב דש גמל לבני  50-60,103,79.1%,"-5,674.6","6,790.8",0.70%,0.61%,דווח,252.87%,06/18-07/99,, *** מיטב דש גמל לבני  50-60,103,84.2%,"-21,384.9","221,455.0",0.58%,0.47%,- - -,4.77%,3.40%,220.80%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,"-2,230.5",- - -,- - -,- - -,- - -,- - -,- - -,- - -,09/09-07/99,לא פעיל,פסגות צור,104,- - -,"-2,230.5",- - -,- - -,- - -,אין נתונים לתחום המבוקש,- - -,09/09-07/99,לא פעיל,פסגות צור,104,84.2%,"-21,384.9","221,455.0",0.58%,0.47%,- - -,4.77%,3.40%,220.80%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,-175.7,- - -,- - -,- - -,- - -,- - -,- - -,- - -,12/10-07/99,לא פעיל,ישיר המלאכה,105,- - -,-175.7,- - -,- - -,- - -,דווח,- - -,12/10-07/99,לא פעיל,ישיר המלאכה,105,84.2%,"-21,384.9","221,455.0",0.58%,0.47%,- - -,4.77%,3.40%,220.80%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,"-15,184.1",- - -,- - -,- - -,- - -,- - -,- - -,- - -,12/15-07/99,לא פעיל, *** פסגות גדיש כללי,106,- - -,"-15,184.1",- - -,- - -,- - -,דווח,- - -,12/15-07/99,לא פעיל, *** פסגות גדיש כללי,106,84.2%,"-21,384.9","221,455.0",0.58%,0.47%,- - -,4.77%,3.40%,220.80%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",87.1%,-280.5,752.0,0.58%,0.00%,1.25,4.20%,3.38%,189.63%,06/18-07/99,," *** הלמן-אלדובי בר-יציב אג""ח עד 25% במניות",107,87.1%,-280.5,752.0,0.58%,0.00%,דווח,189.63%,06/18-07/99,," *** הלמן-אלדובי בר-יציב אג""ח עד 25% במניות",107,84.2%,"-21,384.9","221,455.0",0.58%,0.47%,- - -,4.77%,3.40%,220.80%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,-103.4,- - -,- - -,- - -,- - -,- - -,- - -,- - -,02/05-07/99,לא פעיל,** נדבכים,108,- - -,-103.4,- - -,- - -,- - -,אין נתונים לתחום המבוקש,- - -,02/05-07/99,לא פעיל,** נדבכים,108,84.2%,"-21,384.9","221,455.0",0.58%,0.47%,- - -,4.77%,3.40%,220.80%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,21.6,- - -,- - -,- - -,- - -,- - -,- - -,- - -,09/13-07/99,לא פעיל, *** להיט מניות,109,- - -,21.6,- - -,- - -,- - -,דווח,- - -,09/13-07/99,לא פעיל, *** להיט מניות,109,84.2%,"-21,384.9","221,455.0",0.58%,0.47%,- - -,4.77%,3.40%,220.80%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,-11.6,- - -,- - -,- - -,- - -,- - -,- - -,- - -,12/06-07/99,לא פעיל,** ויתקין,110,- - -,-11.6,- - -,- - -,- - -,דווח,- - -,12/06-07/99,לא פעיל,** ויתקין,110,84.2%,"-21,384.9","221,455.0",0.58%,0.47%,- - -,4.77%,3.40%,220.80%,06/18-07/99
